Mannen	leeftijdsklassen	0_4	 5_9	10_14	15_19	20_24	25_29	30_34	35_39	40_44	45_49	50_54	55_59	60_64	65_69	70_74	75_79	80_84	85+																																																
Maagkanker	dalywgt	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000	0.31226144496194500000																																																
Dikke_darm_en_endeldarmkanker	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00002500000000000000	0.00004700000000000000	0.00014200000000000000	0.00059600000000000000	0.00087700000000000000	0.00289400000000000000	0.00398900000000000000	0.00789000000000000000	0.01498400000000000000	0.02132800000000000000	0.02757000000000000000	0.03440000000000000000	0.04300000000000000000																																																
Dikke_darm_en_endeldarmkanker	dalywgt	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000	0.20766130889125000000																																																
Longkanker	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00002300000000000000	0.00000000000000000000	0.00036300000000000000	0.00058400000000000000	0.00160800000000000000	0.00333000000000000000	0.00542900000000000000	0.01093000000000000000	0.01345000000000000000	0.01679000000000000000	0.01331000000000000000	0.01269000000000000000																																																
Longkanker	dalywgt	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000	0.44106275041816700000																																																
Huidkanker	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00003400000000000000	0.00006400000000000000	0.00042300000000000000	0.00046600000000000000	0.00078200000000000000	0.00122000000000000000	0.00193900000000000000	0.00245600000000000000	0.00300100000000000000	0.00521700000000000000	0.00703700000000000000	0.01017700000000000000	0.01577300000000000000	0.02462800000000000000	0.03562700000000000000																																																
Huidkanker	dalywgt	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000	0.05232061253561250000																																																
Borstkanker	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00002600000000000000	0.00010600000000000000	0.00002900000000000000	0.00011000000000000000	0.00008500000000000000	0.00030400000000000000	0.00034900000000000000	0.00022700000000000000	0.00044400000000000000	0.00000000000000000000																																																
Borstkanker	dalywgt	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000	0.20873504117911200000																																																
Prostaatkanker	prev	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00002700000000000000	0.00038000000000000000	0.00256100000000000000	0.00687200000000000000	0.01433000000000000000	0.02802000000000000000	0.04141000000000000000	0.05569000000000000000	0.06429000000000000000																																																
